Pixel-X	Pixel-Y	Longitude	Latitude	rhos_492	rhos_559	rhos_665	rhos_739	rhos_833	rhos_1610	l2_negatives	lon	lat	ndvi	fdi	virtual_red	virtual_green	virtual_blue
444.5	529.5	-2.5590598583221436	56.1904296875	0.035175264	0.03608588	0.025583921	0.028888814	0.027782306	0.011037314	0	-2.5590599	56.19043	0.041194312	0.030629491	0.025583921	0.03608588	0.035175264
448.5	529.5	-2.558415174484253	56.1904296875	0.033007592	0.027679803	0.019393034	0.021427544	0.02080845	0.008994382	0	-2.5584152	56.19043	0.03520807	0.021484306	0.019393034	0.027679803	0.033007592
450.5	529.5	-2.5580930709838867	56.190425872802734	0.03326268	0.029060861	0.018819574	0.021201363	0.019683313	0.008585788	0	-2.558093	56.190426	0.02243308	0.020909637	0.018819574	0.029060861	0.03326268
398.5	530.5	-2.5664725303649902	56.190364837646484	0.035940025	0.030567031	0.019737102	0.023010673	0.022495992	0.010628733	0	-2.5664725	56.190365	0.06532532	0.021497658	0.019737102	0.030567031	0.035940025
400.5	530.5	-2.566150426864624	56.190364837646484	0.035812575	0.031947307	0.020654524	0.022784526	0.021595996	0.0116501795	0	-2.5661504	56.190365	0.02228309	0.018605864	0.020654524	0.031947307	0.035812575
403.5	530.5	-2.565666913986206	56.190364837646484	0.035812575	0.030692529	0.021686504	0.023236813	0.024520775	0.013284457	0	-2.565667	56.190365	0.06133821	0.01897704	0.021686504	0.030692529	0.035812575
445.5	530.5	-2.5588996410369873	56.190338134765625	0.03606747	0.0309435	0.020539852	0.051015835	0.025308108	0.014714412	0	-2.5588996	56.19034	0.10400149	0.038828135	0.020539852	0.0309435	0.03606747
447.5	530.5	-2.558577299118042	56.190338134765625	0.032752488	0.029437441	0.020310502	0.022671452	0.021145977	0.010730878	0	-2.5585773	56.19034	0.020153051	0.019702211	0.020310502	0.029437441	0.032752488
400.5	531.5	-2.5661513805389404	56.190277099609375	0.03606747	0.031319957	0.020195823	0.022784526	0.021258483	0.0116501795	0	-2.5661514	56.190277	0.025634479	0.01826835	0.020195823	0.031319957	0.03606747
401.5	531.5	-2.5659902095794678	56.19027328491211	0.03555767	0.031570897	0.020425178	0.022784526	0.021370986	0.0116501795	0	-2.5659902	56.190273	0.022629071	0.018380854	0.020425178	0.031570897	0.03555767
445.5	531.5	-2.5589005947113037	56.190250396728516	0.037469022	0.03483212	0.026271505	0.051015835	0.029131684	0.014714412	0	-2.5589006	56.19025	0.051624812	0.042651713	0.026271505	0.03483212	0.037469022
447.5	531.5	-2.5585784912109375	56.190250396728516	0.033517748	0.029186388	0.021342527	0.022671452	0.022495992	0.010730878	0	-2.5585785	56.19025	0.026311686	0.021052226	0.021342527	0.029186388	0.033517748
451.5	531.5	-2.557934045791626	56.19024658203125	0.03326268	0.028809782	0.019163655	0.020409696	0.020358408	0.0079728905	0	-2.557934	56.190247	0.03023002	0.022058588	0.019163655	0.028809782	0.03326268
453.5	531.5	-2.5576117038726807	56.19024658203125	0.033007592	0.029813994	0.018819574	0.021879893	0.020020863	0.008381489	0	-2.5576117	56.190247	0.030928817	0.022138134	0.018819574	0.029813994	0.033007592
401.5	532.5	-2.5659914016723633	56.190185546875	0.033772808	0.03044153	0.020195823	0.022219136	0.021483494	0.0094029745	0	-2.5659914	56.190186	0.030894719	0.022048645	0.020195823	0.03044153	0.033772808
402.5	532.5	-2.5658302307128906	56.190185546875	0.033517748	0.030190535	0.020539852	0.023123747	0.021595996	0.010424443	0	-2.5658302	56.190186	0.025065213	0.02104879	0.020539852	0.030190535	0.033517748
404.5	532.5	-2.5655078887939453	56.190181732177734	0.035940025	0.031319957	0.020195823	0.023915216	0.022383494	0.011139458	0	-2.565508	56.19018	0.051378727	0.021180738	0.020195823	0.031319957	0.035940025
405.5	532.5	-2.5653467178344727	56.190181732177734	0.03441036	0.0309435	0.020654524	0.023915216	0.022046003	0.011139458	0	-2.5653467	56.19018	0.032586947	0.020843247	0.020654524	0.0309435	0.03441036
407.5	532.5	-2.5650246143341064	56.190181732177734	0.03441036	0.031570897	0.022718353	0.025158834	0.025195632	0.013284457	0	-2.5650246	56.19018	0.051702626	0.021146802	0.022718353	0.031570897	0.03441036
409.5	532.5	-2.564702272415161	56.190181732177734	0.035812575	0.03420513	0.025469314	0.025497971	0.031267937	0.018289149	0	-2.5647023	56.19018	0.102201335	0.01858565	0.025469314	0.03420513	0.035812575
445.5	532.5	-2.558901786804199	56.19015884399414	0.043832816	0.048106357	0.03577718	0.07275945	0.04486488	0.027071865	0	-2.5589018	56.19016	0.11269181	0.053327803	0.03577718	0.048106357	0.043832816
447.5	532.5	-2.558579444885254	56.19015884399414	0.035175264	0.02968849	0.021801163	0.025950143	0.023395933	0.012569467	0	-2.5585794	56.19016	0.035284806	0.02123366	0.021801163	0.02968849	0.035175264
448.5	532.5	-2.5584182739257812	56.19015884399414	0.03339022	0.029437441	0.020998532	0.023689082	0.022608487	0.011241603	0	-2.5584183	56.19016	0.03691963	0.021048257	0.020998532	0.029437441	0.03339022
449.5	532.5	-2.5582571029663086	56.19015884399414	0.03339022	0.028307602	0.020425178	0.023689082	0.022383494	0.011241603	0	-2.558257	56.19016	0.045745783	0.020823264	0.020425178	0.028307602	0.03339022
